# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Good Ivan's Bitter Fruit Nonpariels,0.29,0.43,0.27,0.4
Hearsay Bittersweet Caramel Nonpariels,0.43,0.38,0.18,0.51
Nastly Honey Spearmint Velvet,0.71,0.3,0.02,0.09
Good Ivan's Tangy Honey Caramel Jawbreakers,0.94,0.72,0.14,0.78
Hearsay Tart Indulgent Caramel Wafers,0.84,0.97,0.05,0.63
Nastly Tangy Indulgent Walnut Velvet,0.9,0.89,0.77,0.11
Nastly Cool Dark Nugat-Filled Clusters,0.39,0.2,0.65,0.88
Hearsay Sour Semisweet Chocolate Coated Bar,0.36,0.74,0.57,0.33
Nastly Semisweet Walnut Wafers,0.5,0.67,0.78,0.57
Good Ivan's Sour Salted Chocolate Coated Bar,0.16,0.97,0.68,0.37
Good Ivan's Refreshingly Bittersweet Walnut Jawbreakers,0.51,0.28,0.79,0.83
Billy Bonker's Refreshingly Sinful Fruit Mints,0.74,0.18,0.05,0.58
Hearsay Honey Peanut-Butter Bar,0.98,0.55,0.31,0.68
Nastly Sour Honey Peanut-Butter Bar,0.82,0.97,0.69,0.6
Nastly Semisweet Walnut Velvet,0.61,0.31,0.75,0.12
Billy Bonker's Sour Honey Chocolate Coated Velvet,0.97,0.83,0.66,0
Hearsay Sour Bitter Nugat-Filled Nonpariels,0.19,0.87,0.3,0.33
Billy Bonker's Sour Honey Chocolate Candy Sticks,0.81,0.88,0.1,0.96
Nastly Luxurious Semisweet Nugat-Filled Fudge,0.62,0.11,0.65,0.09
Billy Bonker's Tangy Cheese Fruit Lollipops,0.23,0.92,0.02,0.94
Good Ivan's Tangy Semisweet Wintergreen Lollipops,0.62,0.95,0.04,1
Good Ivan's Tangy Dark Peanut-Butter Wafers,0.31,0.91,0.61,0.31
Nastly Tart Dark Wintergreen Mints,0.52,0.87,0.16,0.31
Billy Bonker's Honey Wintergreen Nonpariels,0.76,0.38,0.27,0.67
Billy Bonker's Sinful Caramel Lollipops,0.94,0.62,0.13,0.96
Billy Bonker's Refreshingly Dark Chocolate Coated Mints,0.36,0.07,0.46,0.32
Nastly Cool Dark Cashew Clusters,0.61,0.17,0.8,0.96
Hearsay Tart Semisweet Peanut-Butter Wafers,0.64,0.9,0.32,0.68
Hearsay Refreshingly Cheese Nugat-Filled Clusters,0.13,0.25,0.35,0.89
Billy Bonker's Cool Sinful Peanut-Butter Velvet,0.98,0.1,0.39,0.25
Nastly Indulgent Peanut-Butter Jawbreakers,0.84,0.46,0.68,0.86
Good Ivan's Luxurious Bitter Spearmint Chews,0.15,0.09,0.21,0.21
Hearsay Cool Dark Peanut-Butter Fudge,0.49,0.19,0.32,0.13
Hearsay Semisweet Almond Candy Sticks,0.36,0.39,0.78,0.97
Nastly Tart Indulgent Cashew Wafers,0.96,0.77,0.72,0.45
Nastly Indulgent Chocolate Coated Jawbreakers,0.97,0.58,0.44,0.72
Hearsay Sinful Chocolate Fudge,1,0.65,0.24,0.01
Hearsay Indulgent Chocolate Coated Nonpariels,0.87,0.55,0.63,0.43
Nastly Tart Indulgent Chocolate Coated Jawbreakers,0.93,0.9,0.59,0.99
Billy Bonker's Sour Bittersweet Wintergreen Wafers,0.64,0.83,0.23,0.58
Billy Bonker's Tangy Bittersweet Caramel Mints,0.41,0.96,0.2,0.45
Nastly Bittersweet Walnut Chews,0.43,0.35,0.88,0.13
Good Ivan's Tart Dark Peanut Mints,0.7,0.9,0.71,0.59
Billy Bonker's Sour Bitter Chocolate Coated Wafers,0.21,0.77,0.38,0.31
Billy Bonker's Bitter Almond Velvet,0.1,0.6,0.88,0.29
Nastly Bittersweet Chocolate Bar,0.3,0.64,0.16,0.47
Billy Bonker's Tart Indulgent Nut Fudge,0.92,0.73,0.79,0.11
Hearsay Refreshingly Semisweet Peanut-Butter Fudge,0.48,0.04,0.62,0.11
Nastly Luxurious Sinful Nugat-Filled Velvet,0.75,0.18,0.46,0.11
Billy Bonker's Luxurious Sinful Chocolate Coated Clusters,0.84,0.02,0.66,0.95
Nastly Salted Peanut Mints,0.2,0.61,0.78,0.7
Billy Bonker's Indulgent Wintergreen Clusters,0.95,0.38,0.16,0.89
Billy Bonker's Sour Sinful Fruit Bar,0.79,0.82,0.24,0.49
Billy Bonker's Bittersweet Peanut-Butter Lollipops,0.67,0.53,0.36,0.96
Hearsay Sour Dark Peanut Wafers,0.37,0.89,0.81,0.38
Billy Bonker's Tart Dark Chocolate Coated Wafers,0.49,0.95,0.32,0.68
Nastly Refreshingly Dark Walnut Chews,0.4,0.13,0.98,0.29
Hearsay Tangy Indulgent Walnut Nonpariels,0.72,0.91,0.79,0.64
Billy Bonker's Cool Semisweet Walnut Velvet,0.64,0.25,0.82,0.1
Hearsay Refreshingly Honey Peanut-Butter Wafers,0.99,0.06,0.67,0.53
Good Ivan's Refreshingly Honey Nugat-Filled Wafers,0.92,0.25,0.34,0.33
Hearsay Tart Cheese Almond Velvet,0.06,0.91,0.88,0.15
Hearsay Tangy Bittersweet Fruit Candy Sticks,0.49,0.73,0.2,0.75
Good Ivan's Bittersweet Wintergreen Fudge,0.67,0.63,0.24,0.18
Billy Bonker's Semisweet Chocolate Coated Nonpariels,0.66,0.7,0.69,0.38
Nastly Refreshingly Bitter Caramel Chews,0.18,0.28,0.28,0.28
Billy Bonker's Tart Indulgent Peanut-Butter Candy Sticks,0.73,0.98,0.44,0.89
Nastly Bittersweet Wintergreen Mints,0.58,0.62,0.24,0.49
Good Ivan's Luxurious Dark Cashew Wafers,0.4,0.28,0.89,0.61
Nastly Tangy Semisweet Chocolate Coated Clusters,0.41,0.79,0.66,0.74
Hearsay Sour Honey Chocolate Bar,0.92,0.98,0.06,0.45
Good Ivan's Sour Indulgent Spearmint Candy Sticks,0.91,0.76,0.18,0.89
Good Ivan's Honey Cashew Wafers,0.9,0.47,0.88,0.7
Good Ivan's Tart Sinful Nut Bar,0.85,0.81,0.83,0.66
Good Ivan's Cool Cheese Fruit Lollipops,0.11,0,0.25,0.84
Hearsay Bittersweet Chocolate Coated Wafers,0.56,0.68,0.37,0.59
Good Ivan's Refreshingly Dark Nut Fudge,0.61,0.05,0.84,0.19
Good Ivan's Bitter Walnut Bar,0.04,0.43,0.87,0.39
Good Ivan's Honey Peanut-Butter Chews,0.81,0.39,0.38,0.22
Good Ivan's Semisweet Peanut Fudge,0.6,0.3,0.87,0.26
Hearsay Tangy Dark Peanut-Butter Wafers,0.33,0.85,0.47,0.36
Nastly Luxurious Dark Almond Mints,0.65,0.23,0.97,0.68
Nastly Sour Bittersweet Chocolate Fudge,0.39,0.71,0.15,0.15
Nastly Tart Cheese Nugat-Filled Bar,0.1,0.79,0.68,0.35
Nastly Tangy Bittersweet Chocolate Coated Fudge,0.32,0.83,0.48,0.06
Good Ivan's Sour Semisweet Nugat-Filled Clusters,0.65,0.99,0.34,0.72
Hearsay Sour Semisweet Caramel Wafers,0.58,0.97,0.27,0.48
Hearsay Indulgent Caramel Velvet,0.78,0.36,0.03,0.14
Hearsay Salted Chocolate Coated Mints,0.23,0.59,0.66,0.62
Nastly Semisweet Chocolate Candy Sticks,0.7,0.34,0.17,0.99
Billy Bonker's Indulgent Cashew Clusters,0.9,0.36,0.76,0.73
Nastly Luxurious Sinful Fruit Velvet,0.71,0.15,0.17,0.18
Good Ivan's Bittersweet Nugat-Filled Chews,0.44,0.33,0.32,0.07
Nastly Cool Sinful Nugat-Filled Chews,0.73,0.01,0.64,0.15
Billy Bonker's Tart Indulgent Spearmint Clusters,0.75,0.87,0.22,0.75
Billy Bonker's Semisweet Chocolate Mints,0.32,0.62,0.01,0.55
Good Ivan's Tart Sinful Chocolate Bar,0.87,0.77,0.29,0.65
Nastly Tangy Indulgent Peanut-Butter Wafers,0.78,0.78,0.55,0.6
Billy Bonker's Dark Nut Clusters,0.33,0.38,0.93,0.84
Good Ivan's Sour Indulgent Walnut Mints,0.9,0.98,0.79,0.48
Good Ivan's Semisweet Chocolate Coated Nonpariels,0.68,0.39,0.37,0.68
Billy Bonker's Tart Dark Chocolate Coated Fudge,0.38,0.95,0.38,0.26
Billy Bonker's Tart Dark Chocolate Coated Chews,0.33,0.94,0.62,0.28
Hearsay Cool Bitter Peanut-Butter Bar,0.05,0.17,0.43,0.4
Hearsay Luxurious Bittersweet Peanut-Butter Nonpariels,0.61,0.16,0.34,0.49
Billy Bonker's Luxurious Indulgent Chocolate Coated Bar,0.74,0.1,0.34,0.39
Nastly Tart Dark Peanut-Butter Fudge,0.31,0.8,0.66,0.25
Billy Bonker's Sour Bittersweet Peanut-Butter Nonpariels,0.61,0.87,0.69,0.36
Good Ivan's Sour Bittersweet Chocolate Coated Wafers,0.33,0.71,0.39,0.46
Billy Bonker's Bitter Walnut Wafers,0.05,0.55,0.92,0.32
Hearsay Luxurious Salted Peanut Jawbreakers,0.04,0.2,0.87,0.92
Hearsay Honey Caramel Nonpariels,0.8,0.39,0.09,0.39
Hearsay Cool Bittersweet Chocolate Coated Velvet,0.53,0.14,0.48,0.02
Hearsay Semisweet Chocolate Fudge,0.68,0.56,0.29,0.08
Nastly Bittersweet Caramel Fudge,0.54,0.55,0.02,0.05
Good Ivan's Cheese Peanut-Butter Nonpariels,0.14,0.66,0.43,0.48
Good Ivan's Tart Indulgent Almond Wafers,0.82,0.84,0.75,0.5
Good Ivan's Bitter Nugat-Filled Jawbreakers,0.23,0.66,0.52,0.78
Billy Bonker's Indulgent Chocolate Coated Fudge,0.89,0.31,0.39,0.14
Hearsay Sour Bittersweet Chocolate Coated Velvet,0.38,0.75,0.4,0.17
Nastly Tangy Cheese Chocolate Coated Mints,0.07,0.73,0.66,0.46
Good Ivan's Luxurious Bittersweet Cashew Lollipops,0.48,0.13,0.91,0.88
Billy Bonker's Honey Nut Mints,0.84,0.63,0.73,0.42
Good Ivan's Cool Cheese Chocolate Fudge,0.11,0.29,0.1,0.1
Nastly Indulgent Fruit Nonpariels,0.94,0.34,0.16,0.34
Good Ivan's Bittersweet Almond Fudge,0.42,0.36,0.79,0.08
Hearsay Indulgent Cashew Mints,0.93,0.58,0.9,0.34
Nastly Cool Honey Nugat-Filled Bar,0.85,0.18,0.4,0.61
Billy Bonker's Sour Dark Chocolate Wafers,0.54,0.72,0.05,0.7
Good Ivan's Sour Salted Chocolate Coated Fudge,0.17,0.86,0.37,0.27
Nastly Cheese Nut Candy Sticks,0.28,0.63,0.85,0.87
Nastly Cheese Nut Jawbreakers,0.08,0.63,0.97,0.89
Billy Bonker's Luxurious Bittersweet Nut Wafers,0.56,0.14,0.73,0.38
Hearsay Tart Sinful Peanut Wafers,0.86,0.73,0.8,0.48
Hearsay Cool Semisweet Walnut Candy Sticks,0.64,0.04,0.96,0.99
Billy Bonker's Honey Fruit Velvet,0.81,0.56,0.16,0.25
Nastly Honey Nugat-Filled Bar,0.97,0.35,0.39,0.58
Nastly Bitter Nugat-Filled Bar,0.2,0.63,0.56,0.31
Billy Bonker's Semisweet Chocolate Coated Candy Sticks,0.37,0.31,0.32,0.73
Nastly Tangy Dark Chocolate Lollipops,0.33,0.75,0.18,0.9
Nastly Luxurious Bittersweet Walnut Jawbreakers,0.4,0.11,0.97,0.85
Hearsay Luxurious Honey Chocolate Coated Wafers,0.98,0.16,0.53,0.51
Hearsay Salted Chocolate Jawbreakers,0.27,0.38,0.25,0.83
Hearsay Bittersweet Nugat-Filled Wafers,0.62,0.65,0.63,0.44
Nastly Bittersweet Spearmint Nonpariels,0.54,0.58,0.02,0.34
Nastly Cool Sinful Chocolate Coated Bar,0.71,0.06,0.37,0.61
Billy Bonker's Bittersweet Nugat-Filled Fudge,0.36,0.37,0.61,0.11
Nastly Salted Almond Lollipops,0.11,0.31,0.92,0.89
Nastly Semisweet Caramel Mints,0.44,0.62,0.04,0.34
Billy Bonker's Luxurious Honey Chocolate Coated Bar,0.77,0.14,0.42,0.38
Nastly Semisweet Nut Velvet,0.32,0.44,0.83,0.12
Billy Bonker's Indulgent Wintergreen Chews,0.85,0.57,0.06,0.1
Nastly Bitter Chocolate Coated Bar,0.19,0.37,0.67,0.59
Good Ivan's Semisweet Spearmint Chews,0.63,0.55,0.22,0.18
Good Ivan's Bittersweet Peanut-Butter Bar,0.43,0.62,0.32,0.53
Hearsay Refreshingly Semisweet Spearmint Bar,0.45,0.24,0.06,0.32
Nastly Sour Dark Peanut-Butter Wafers,0.48,0.88,0.6,0.4
Hearsay Tangy Semisweet Peanut Lollipops,0.62,0.88,0.93,0.96
Billy Bonker's Tart Sinful Cashew Bar,0.94,1,0.89,0.68
Nastly Bitter Wintergreen Jawbreakers,0.17,0.61,0.19,0.95
Hearsay Semisweet Peanut Chews,0.39,0.47,0.83,0.09
Good Ivan's Cheese Walnut Clusters,0.06,0.67,0.89,0.79
Good Ivan's Sour Dark Chocolate Coated Fudge,0.32,0.9,0.5,0.1
Nastly Tart Semisweet Peanut Nonpariels,0.65,0.75,0.97,0.55
Good Ivan's Sour Cheese Nugat-Filled Chews,0.08,0.85,0.57,0.27
Billy Bonker's Semisweet Walnut Lollipops,0.31,0.51,0.99,0.85
Good Ivan's Tart Semisweet Caramel Mints,0.33,0.76,0.25,0.55
Good Ivan's Dark Peanut-Butter Velvet,0.67,0.61,0.67,0.19
Billy Bonker's Semisweet Chocolate Jawbreakers,0.7,0.64,0.04,0.85
Good Ivan's Refreshingly Honey Chocolate Coated Nonpariels,0.73,0.13,0.59,0.32
Nastly Luxurious Honey Nugat-Filled Clusters,0.84,0.17,0.35,0.71
Billy Bonker's Sour Bittersweet Almond Clusters,0.54,0.91,0.77,0.98
Billy Bonker's Dark Nugat-Filled Candy Sticks,0.47,0.69,0.66,0.86
Billy Bonker's Cool Bittersweet Wintergreen Velvet,0.42,0.25,0.23,0.1
Good Ivan's Refreshingly Sinful Chocolate Coated Wafers,0.78,0.16,0.62,0.58
Billy Bonker's Bitter Walnut Candy Sticks,0.22,0.53,0.83,0.79
Good Ivan's Sinful Nugat-Filled Mints,0.78,0.61,0.48,0.59
Good Ivan's Tart Bittersweet Peanut-Butter Fudge,0.34,0.75,0.58,0.19
Good Ivan's Refreshingly Sinful Fruit Clusters,0.92,0.16,0.02,0.9
Billy Bonker's Bitter Nut Clusters,0.15,0.52,0.71,1
Billy Bonker's Luxurious Dark Cashew Chews,0.48,0.29,0.78,0.01
Good Ivan's Bittersweet Fruit Nonpariels,0.6,0.42,0.15,0.7
Good Ivan's Semisweet Cashew Wafers,0.51,0.53,0.73,0.39
Good Ivan's Luxurious Dark Nugat-Filled Wafers,0.65,0.29,0.5,0.42
Hearsay Indulgent Spearmint Candy Sticks,0.89,0.37,0.23,0.73
Hearsay Tangy Indulgent Nut Wafers,0.79,1,0.96,0.38
Hearsay Refreshingly Dark Chocolate Candy Sticks,0.52,0.21,0.09,0.85
Nastly Refreshingly Dark Nut Jawbreakers,0.4,0.23,0.84,0.75
Good Ivan's Semisweet Chocolate Wafers,0.48,0.7,0.17,0.53
Hearsay Sour Semisweet Nugat-Filled Mints,0.69,0.8,0.69,0.36
Nastly Cool Bitter Almond Nonpariels,0.15,0.21,0.77,0.5
Billy Bonker's Indulgent Fruit Jawbreakers,0.74,0.61,0.02,0.77
Nastly Indulgent Chocolate Coated Wafers,0.96,0.7,0.68,0.4
Billy Bonker's Sinful Spearmint Velvet,0.76,0.39,0.12,0.29
Good Ivan's Sour Sinful Almond Nonpariels,0.84,0.98,0.96,0.55
Billy Bonker's Salted Chocolate Coated Chews,0.14,0.62,0.43,0.04
Nastly Cheese Chocolate Coated Clusters,0.17,0.41,0.36,0.88
Billy Bonker's Luxurious Dark Peanut Bar,0.67,0.24,0.88,0.38
Nastly Cool Honey Chocolate Coated Mints,0.9,0.02,0.36,0.51
Nastly Sour Cheese Chocolate Coated Fudge,0.08,0.73,0.41,0.06
Hearsay Luxurious Bittersweet Fruit Velvet,0.38,0.16,0.04,0.28
Good Ivan's Sour Indulgent Wintergreen Candy Sticks,0.72,0.86,0.1,0.96
Good Ivan's Honey Caramel Fudge,0.89,0.37,0.23,0.16
Good Ivan's Tangy Bitter Walnut Velvet,0.2,0.84,0.95,0.27
Hearsay Luxurious Semisweet Chocolate Coated Candy Sticks,0.45,0.15,0.37,0.85
Hearsay Honey Nugat-Filled Nonpariels,0.74,0.7,0.64,0.41
Hearsay Sour Bittersweet Wintergreen Mints,0.54,0.78,0.28,0.31
Hearsay Cool Dark Almond Nonpariels,0.41,0.2,0.71,0.67
Billy Bonker's Sour Honey Peanut-Butter Bar,0.82,0.76,0.63,0.69
Hearsay Cool Indulgent Cashew Nonpariels,0.75,0.04,0.76,0.34
Hearsay Dark Almond Lollipops,0.62,0.7,0.85,0.89
Billy Bonker's Dark Nut Lollipops,0.48,0.38,0.92,0.94
Billy Bonker's Refreshingly Bittersweet Peanut-Butter Clusters,0.6,0.03,0.36,0.8
Billy Bonker's Cool Indulgent Chocolate Coated Wafers,0.77,0.28,0.7,0.52
Billy Bonker's Luxurious Dark Nugat-Filled Fudge,0.48,0.26,0.6,0
Nastly Luxurious Salted Chocolate Coated Nonpariels,0.05,0.27,0.53,0.64
Billy Bonker's Cool Salted Chocolate Coated Wafers,0.04,0.08,0.3,0.42
Good Ivan's Cool Semisweet Peanut-Butter Velvet,0.68,0,0.35,0.27
Billy Bonker's Refreshingly Semisweet Nugat-Filled Chews,0.41,0.26,0.68,0.12
Nastly Indulgent Fruit Chews,0.75,0.67,0,0.26
Billy Bonker's Sour Dark Caramel Jawbreakers,0.61,0.88,0.27,0.86
Good Ivan's Cool Bittersweet Peanut-Butter Velvet,0.51,0.24,0.7,0.12
Hearsay Sour Cheese Peanut-Butter Fudge,0.04,0.98,0.48,0.24
Hearsay Sour Honey Almond Nonpariels,0.85,0.74,0.76,0.65
Good Ivan's Semisweet Peanut-Butter Velvet,0.37,0.37,0.65,0.06
Hearsay Cool Semisweet Chocolate Coated Chews,0.53,0.08,0.33,0.11
Good Ivan's Cool Sinful Chocolate Coated Wafers,0.92,0.03,0.57,0.68
Hearsay Tangy Honey Chocolate Coated Chews,0.85,0.96,0.46,0.28
Billy Bonker's Cool Semisweet Peanut Fudge,0.54,0.25,0.93,0.08
Good Ivan's Luxurious Dark Nugat-Filled Fudge,0.49,0.26,0.69,0.24
Nastly Sinful Nut Jawbreakers,1,0.59,0.92,0.86
Hearsay Cool Bittersweet Nut Clusters,0.62,0.28,0.87,0.99
Good Ivan's Refreshingly Semisweet Peanut-Butter Bar,0.31,0,0.42,0.64
Hearsay Bitter Chocolate Coated Velvet,0.17,0.46,0.48,0.26
Good Ivan's Refreshingly Indulgent Nugat-Filled Fudge,0.85,0.12,0.68,0
Hearsay Salted Cashew Bar,0.01,0.6,0.86,0.57
Hearsay Tart Bitter Chocolate Coated Chews,0.25,0.93,0.65,0.22
Hearsay Dark Nugat-Filled Jawbreakers,0.44,0.31,0.43,0.98
Hearsay Tart Dark Spearmint Nonpariels,0.46,0.81,0.09,0.35
Good Ivan's Cool Honey Almond Jawbreakers,0.83,0.08,0.96,0.77
Hearsay Indulgent Caramel Clusters,0.71,0.68,0.26,0.76
Hearsay Cool Honey Chocolate Coated Bar,0.73,0.17,0.52,0.39
Billy Bonker's Tangy Dark Nugat-Filled Velvet,0.53,0.71,0.7,0.08
Good Ivan's Cheese Chocolate Coated Bar,0.21,0.48,0.66,0.7
Billy Bonker's Bitter Cashew Clusters,0.08,0.67,0.74,0.78
Good Ivan's Tangy Sinful Chocolate Nonpariels,0.86,0.74,0.04,0.44
Nastly Bitter Caramel Bar,0.26,0.61,0.09,0.42
Billy Bonker's Tart Bittersweet Peanut-Butter Nonpariels,0.64,0.96,0.3,0.64
Nastly Refreshingly Bittersweet Cashew Jawbreakers,0.6,0.02,0.93,0.8
Billy Bonker's Refreshingly Bittersweet Caramel Lollipops,0.39,0.04,0.22,0.84
Good Ivan's Salted Cashew Bar,0.25,0.4,0.92,0.61
Nastly Cheese Peanut-Butter Chews,0.21,0.53,0.34,0.28
Good Ivan's Honey Almond Velvet,0.82,0.36,0.8,0.12
Good Ivan's Tart Sinful Nugat-Filled Jawbreakers,0.86,0.8,0.31,0.75
Billy Bonker's Sinful Chocolate Fudge,0.92,0.53,0,0.24
Hearsay Refreshingly Bittersweet Nut Fudge,0.35,0.18,0.85,0.16
Billy Bonker's Semisweet Nut Velvet,0.66,0.32,0.78,0.2
Hearsay Cool Semisweet Nut Mints,0.42,0.15,0.71,0.31
Good Ivan's Salted Nut Nonpariels,0.15,0.42,0.72,0.6
Billy Bonker's Dark Walnut Lollipops,0.33,0.34,0.81,0.84
Good Ivan's Refreshingly Sinful Peanut Bar,0.72,0.07,0.9,0.5
Good Ivan's Dark Peanut-Butter Lollipops,0.56,0.4,0.38,0.81
Billy Bonker's Refreshingly Sinful Chocolate Velvet,0.8,0.13,0.22,0.08
Nastly Honey Chocolate Wafers,0.96,0.57,0.16,0.39
Nastly Luxurious Dark Chocolate Coated Nonpariels,0.64,0.19,0.39,0.53
Hearsay Refreshingly Dark Cashew Bar,0.3,0.12,0.91,0.32
Billy Bonker's Refreshingly Dark Chocolate Coated Nonpariels,0.7,0.08,0.44,0.65
Good Ivan's Refreshingly Dark Peanut Lollipops,0.6,0.18,0.75,0.82
Nastly Luxurious Indulgent Peanut Fudge,0.83,0.09,0.79,0.01
Hearsay Tart Salted Peanut-Butter Mints,0.19,0.75,0.62,0.57
Hearsay Tangy Dark Chocolate Wafers,0.3,0.92,0.01,0.67
Billy Bonker's Luxurious Semisweet Chocolate Coated Bar,0.62,0.2,0.52,0.51
Good Ivan's Refreshingly Bittersweet Walnut Fudge,0.36,0.16,0.97,0.01
Billy Bonker's Luxurious Salted Chocolate Coated Jawbreakers,0.16,0.29,0.44,0.73
Hearsay Refreshingly Indulgent Chocolate Coated Nonpariels,0.74,0.14,0.58,0.35
Hearsay Tangy Sinful Walnut Bar,0.94,0.86,0.78,0.48
Good Ivan's Cool Sinful Peanut-Butter Wafers,0.89,0.02,0.34,0.45
Good Ivan's Bittersweet Nugat-Filled Mints,0.31,0.64,0.49,0.39
Nastly Tangy Honey Peanut-Butter Jawbreakers,0.87,0.82,0.37,0.81
Hearsay Tart Dark Nut Lollipops,0.7,0.72,0.8,0.76
Good Ivan's Tangy Dark Chocolate Coated Wafers,0.31,0.83,0.54,0.3
Hearsay Sour Dark Nut Nonpariels,0.44,0.81,0.79,0.61
Good Ivan's Refreshingly Bitter Wintergreen Candy Sticks,0.13,0.17,0.15,0.8
Nastly Cool Bittersweet Chocolate Wafers,0.36,0.03,0.02,0.31
Good Ivan's Tangy Dark Nugat-Filled Fudge,0.4,0.76,0.58,0.1
Hearsay Tart Honey Walnut Bar,0.93,0.97,0.85,0.53
Hearsay Refreshingly Bittersweet Caramel Jawbreakers,0.58,0.13,0.15,0.82
Billy Bonker's Dark Chocolate Coated Mints,0.68,0.41,0.38,0.69
Good Ivan's Luxurious Bittersweet Caramel Nonpariels,0.51,0.14,0.08,0.49
Billy Bonker's Salted Caramel Lollipops,0.15,0.4,0.14,0.92
Nastly Luxurious Dark Peanut-Butter Jawbreakers,0.57,0.02,0.41,0.81
Nastly Tart Salted Peanut-Butter Fudge,0.18,0.85,0.4,0.1
Billy Bonker's Cool Dark Chocolate Coated Velvet,0.61,0.11,0.65,0.16
Good Ivan's Sour Dark Nut Wafers,0.7,0.82,0.75,0.69
Nastly Sinful Nugat-Filled Wafers,0.81,0.65,0.39,0.68
Hearsay Tangy Bittersweet Peanut-Butter Jawbreakers,0.63,0.83,0.4,0.98
Hearsay Tart Dark Peanut Bar,0.7,0.74,0.99,0.47
Hearsay Semisweet Cashew Nonpariels,0.49,0.63,0.8,0.5
Billy Bonker's Refreshingly Semisweet Cashew Fudge,0.33,0.29,0.71,0.19
Nastly Refreshingly Indulgent Chocolate Coated Wafers,0.74,0.16,0.6,0.69
Hearsay Tangy Sinful Chocolate Candy Sticks,0.73,0.91,0.11,0.89
Billy Bonker's Sour Indulgent Chocolate Coated Lollipops,0.74,0.95,0.36,0.91
Good Ivan's Tart Sinful Nut Fudge,0.87,0.74,0.77,0.22
Billy Bonker's Honey Peanut-Butter Chews,0.94,0.45,0.45,0.29
Hearsay Sour Sinful Spearmint Jawbreakers,0.84,0.79,0.08,0.82
Hearsay Refreshingly Bitter Peanut-Butter Velvet,0.23,0.01,0.34,0.13
Billy Bonker's Salted Nugat-Filled Bar,0.24,0.6,0.34,0.35
Nastly Honey Chocolate Mints,0.92,0.51,0,0.49
Hearsay Cheese Peanut Mints,0.04,0.58,0.94,0.62
Hearsay Indulgent Walnut Lollipops,0.98,0.47,0.98,0.74
Billy Bonker's Sour Bitter Chocolate Coated Velvet,0.25,0.82,0.54,0.02
Good Ivan's Cool Bittersweet Peanut Velvet,0.43,0.24,0.93,0.02
Good Ivan's Cool Bitter Cashew Mints,0.14,0.12,0.86,0.38
Nastly Luxurious Semisweet Almond Chews,0.42,0.16,0.8,0.23
Hearsay Sour Bitter Caramel Clusters,0.15,0.94,0.2,0.82
Hearsay Refreshingly Semisweet Almond Fudge,0.58,0.13,0.77,0.25
Billy Bonker's Cheese Spearmint Wafers,0.12,0.64,0.14,0.52
Hearsay Cool Dark Walnut Velvet,0.34,0.27,0.77,0.27
Billy Bonker's Refreshingly Dark Nugat-Filled Nonpariels,0.6,0.11,0.65,0.68
Hearsay Tart Indulgent Nut Bar,0.71,0.83,0.87,0.52
Billy Bonker's Semisweet Peanut-Butter Bar,0.68,0.59,0.3,0.69
Billy Bonker's Tart Bitter Nugat-Filled Wafers,0.23,0.77,0.6,0.38
Nastly Semisweet Peanut-Butter Chews,0.32,0.66,0.37,0.07
Hearsay Tangy Dark Chocolate Chews,0.63,0.91,0.26,0.01
Hearsay Indulgent Chocolate Coated Chews,0.71,0.69,0.43,0.2
Hearsay Salted Almond Lollipops,0.28,0.58,0.79,0.88
Nastly Sour Semisweet Spearmint Velvet,0.68,0.82,0.01,0.21
Nastly Sour Semisweet Chocolate Fudge,0.41,0.78,0.18,0.12
Billy Bonker's Luxurious Salted Wintergreen Velvet,0.07,0.27,0.01,0.2
Good Ivan's Dark Nut Lollipops,0.34,0.35,0.81,0.94
Good Ivan's Tangy Dark Chocolate Coated Bar,0.51,0.98,0.63,0.55
Billy Bonker's Cool Dark Peanut-Butter Bar,0.54,0.27,0.61,0.65
Good Ivan's Bittersweet Chocolate Coated Wafers,0.67,0.64,0.31,0.69
Nastly Bittersweet Chocolate Coated Lollipops,0.33,0.69,0.57,0.75
Billy Bonker's Indulgent Wintergreen Fudge,0.72,0.57,0.13,0.06
Billy Bonker's Tart Sinful Peanut-Butter Jawbreakers,0.78,1,0.69,0.76
Nastly Dark Chocolate Coated Fudge,0.31,0.66,0.59,0.29
Nastly Tangy Sinful Spearmint Bar,0.95,0.95,0.04,0.49
Hearsay Tart Bittersweet Nut Nonpariels,0.49,0.71,0.73,0.32
Hearsay Tart Bittersweet Spearmint Wafers,0.67,0.72,0.24,0.44
Billy Bonker's Tangy Bittersweet Peanut-Butter Chews,0.38,0.99,0.4,0.01
Billy Bonker's Refreshingly Sinful Caramel Fudge,0.85,0.28,0.25,0.15
Billy Bonker's Indulgent Cashew Jawbreakers,0.9,0.69,0.98,0.8
Nastly Tangy Cheese Chocolate Coated Fudge,0.12,0.75,0.5,0.21
Nastly Semisweet Peanut Candy Sticks,0.42,0.38,0.71,0.72
Hearsay Luxurious Dark Peanut-Butter Chews,0.45,0.19,0.69,0.13
Good Ivan's Tangy Semisweet Almond Bar,0.62,0.83,0.83,0.54
Good Ivan's Salted Peanut-Butter Velvet,0.08,0.53,0.34,0.1
Hearsay Honey Spearmint Nonpariels,0.8,0.42,0.17,0.51
Nastly Tangy Cheese Peanut-Butter Chews,0.1,0.94,0.37,0.02
